PROCEDIMENTO,"RN (alteração)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
ARTRODESE COXO-FEMORAL EM GERAL - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,CINTURA PÉLVICA,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTRODIASTASE DE QUADRIL,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,CINTURA PÉLVICA,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTROPLASTIA - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,CINTURA PÉLVICA,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTROPLASTIA DE QUADRIL INFECTADA (RETIRADA DOS COMPONENTES) - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,CINTURA PÉLVICA,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTROPLASTIA DE RESSECÇÃO DO QUADRIL (GIRDLESTONE),nan,nan,nan,nan,HCO,HSO,REF,nan,nan,CINTURA PÉLVICA,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTROPLASTIA PARCIAL DO QUADRIL - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,CINTURA PÉLVICA,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTROPLASTIA TOTAL DE QUADRIL INFECTADA (INCISÃO E DRENAGEM ARTRITE SÉPTICA) - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,CINTURA PÉLVICA,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTROTOMIA COXO-FEMORAL - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,CINTURA PÉLVICA,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA CIRÚRGICA COXO-FEMORAL,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,CINTURA PÉLVICA,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA CIRÚRGICA DA CINTURA PÉLVICA,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,CINTURA PÉLVICA,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DESARTICULAÇÃO COXO-FEMORAL - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,CINTURA PÉLVICA,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DESARTICULAÇÃO INTERÍLIO ABDOMINAL - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,CINTURA PÉLVICA,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EPIFISIODESE C/ ABAIXAMENTO DO GRANDE TROCANTER,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,CINTURA PÉLVICA,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"EPIFISIOLISTESE PROXIMAL DE FÊMUR (FIXAÇÃO ""IN SITU"")",nan,nan,nan,nan,HCO,HSO,REF,nan,nan,CINTURA PÉLVICA,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURA DE ACETÁBULO (COM UMA OU MAIS ABORDAGENS) - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,CINTURA PÉLVICA,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURA E/OU LUXAÇÃO E/OU AVULSÃO COXO-FEMORAL - REDUÇÃO INCRUENTA,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,CINTURA PÉLVICA,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURA E/OU LUXAÇÃO E/OU AVULSÃO COXO-FEMORAL - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,CINTURA PÉLVICA,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURA/LUXAÇÃO COM FIXADOR EXTERNO - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,CINTURA PÉLVICA,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURAS E/OU LUXAÇÕES DO ANEL PÉLVICO - REDUÇÃO INCRUENTA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,CINTURA PÉLVICA,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURAS E/OU LUXAÇÕES DO ANEL PÉLVICO (COM UMA OU MAIS ABORDAGENS) - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,CINTURA PÉLVICA,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
OSTEOMIELITE AO NÍVEL DA PELVE - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,CINTURA PÉLVICA,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"OSTEOTOMIAS AO NÍVEL DO COLO OU REGIÃO TROCANTERIANA (SUGIOKA, MARTIN, BOMBELLI ETC) - TRATAMENTO CIRÚRGICO",nan,nan,nan,nan,HCO,HSO,REF,nan,nan,CINTURA PÉLVICA,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
OSTEOTOMIAS / ARTRODESES - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,CINTURA PÉLVICA,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"OSTEOTOMIAS SUPRA-ACETABULARES (CHIARI, PEMBERTON, ""DIAL"", ETC) - TRATAMENTO CIRÚRGICO",nan,nan,nan,nan,HCO,HSO,REF,nan,nan,CINTURA PÉLVICA,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PUNÇÃO-BIÓPSIA COXO-FEMORAL-ARTROCENTESE,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,CINTURA PÉLVICA,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RECONSTRUÇÃO DE QUADRIL COM FIXADOR EXTERNO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,CINTURA PÉLVICA,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REVISÃO DE ARTROPLASTIAS DE QUADRIL COM RETIRADA DE COMPONENTES E IMPLANTE DE PRÓTESE,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,CINTURA PÉLVICA,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO DE NECROSE AVASCULAR POR FORAGEM DE ESTAQUEAMENTO ASSOCIADA À NECROSE MICROCIRÚRGICA DA CABEÇA FEMORAL,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,CINTURA PÉLVICA,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DA ARTRITE SÉPTICA,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,CINTURA PÉLVICA,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DA LUXAÇÃO CONGÊNITA DE QUADRIL - REDUÇÃO CIRÚRGICA COM OU SEM OSTEOTOMIA / REDUÇÃO INCRUENTA COM OU SEM TENOTOMIA DE ADUTORES,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,CINTURA PÉLVICA,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ALONGAMENTO / TRANSPORTE ÓSSEO / PSEUDOARTROSE COM FIXADOR EXTERNO (DINÂMICO OU NÃO) - QUALQUER LOCALIZAÇÃO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ALONGAMENTO COM FIXADOR DINÂMICO - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ALONGAMENTO DOS OSSOS DA PERNA - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
AMPUTAÇÃO AO NÍVEL DA COXA - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
AMPUTAÇÃO AO NÍVEL DO PÉ - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
AMPUTAÇÃO AO NÍVEL DO TORNOZELO - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
AMPUTAÇÃO DE PERNA - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
AMPUTAÇÃO/DESARTICULAÇÃO DE PODODÁCTILOS - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTRITE OU OSTEOARTRITE DOS OSSOS DO PÉ (INCLUI OSTEOMIELITE) - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTRODESE AO NÍVEL DO TORNOZELO - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTRODESE DE JOELHO - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTRODESE DE TARSO E/OU MÉDIO PÉ - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTRODESE METATARSO - FALÂNGICA OU INTERFALÂNGICA - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTROPLASTIA DE TORNOZELO (COM IMPLANTE) - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTROPLASTIA TOTAL DE JOELHO COM IMPLANTES - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTRORRISE DO TORNOZELO - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTROTOMIA - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA CIRÚRGICA DE FÊMUR,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA CIRÚRGICA DE JOELHO,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA CIRÚRGICA DE TÍBIA OU FÍBULA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA CIRÚRGICA DOS OSSOS DO PÉ,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CORREÇÃO DE DEFORMIDADE ÓSSEA CONGÊNITA OU ADQUIRIDA COM FIXADOR EXTERNO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CORREÇÃO DE DEFORMIDADES DO PÉ COM FIXADOR EXTERNO DINÂMICO - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DESARTICULAÇÃO DE JOELHO - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DESCOLAMENTO EPIFISÁRIO (TRAUMÁTICO OU NÃO) - REDUÇÃO INCRUENTA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DESCOLAMENTO EPIFISÁRIO (TRAUMÁTICO OU NÃO) - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ENCURTAMENTO DE FÊMUR - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ENCURTAMENTO DOS OSSOS DA PERNA - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EPIFISIODESE - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EPIFISIODESE DE TÍBIA / FÍBULA - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FASCIOTOMIA OU RESSECÇÃO DE FASCIA PLANTAR,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURA E/OU LUXAÇÃO DE PATELA - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURA E/OU LUXAÇÃO DE PATELA (INCLUSIVE OSTEOCONDRAL) - REDUÇÃO INCRUENTA,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURA E/OU LUXAÇÕES DO PÉ (EXCETO ANTEPÉ) - REDUÇÃO INCRUENTA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURA E/OU LUXAÇÕES DO PÉ (EXCETO ANTEPÉ) - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURAS DE FÊMUR - REDUÇÃO INCRUENTA,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURAS DE FÊMUR - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURAS DE FÍBULA - (INCLUI DESCOLAMENTO EPIFISÁRIO) - REDUÇÃO INCRUENTA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURAS DE TÍBIA ASSOCIADA OU NÃO A FÍBULA (INCLUI DESCOLAMENTO EPIFISÁRIO) - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURAS DE TÍBIA E FÍBULA (INCLUI DESCOLAMENTO EPIFISÁRIO) - REDUÇÃO INCRUENTA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURAS E/OU LUXAÇÕES AO NÍVEL DO JOELHO - REDUÇÃO INCRUENTA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURAS E/OU LUXAÇÕES AO NÍVEL DO JOELHO - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURAS E/OU LUXAÇÕES AO NÍVEL DO TORNOZELO - REDUÇÃO INCRUENTA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURAS E/OU LUXAÇÕES AO NÍVEL DO TORNOZELO - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURAS E/OU LUXAÇÕES DO ANTEPÉ - REDUÇÃO INCRUENTA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURAS E/OU LUXAÇÕES DO ANTEPÉ - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"FRATURAS, PSEUDARTROSES, CORREÇÃO DE DEFORMIDADES E ALONGAMENTOS COM FIXADOR EXTERNO DINÂMICO - TRATAMENTO CIRÚRGICO",nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
LESÕES LIGAMENTARES AGUDAS - REDUÇÃO INCRUENTA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
LESÕES LIGAMENTARES AGUDAS - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
LESÕES LIGAMENTARES AGUDAS AO NÍVEL DO TORNOZELO - REDUÇÃO INCRUENTA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
LESÕES LIGAMENTARES AGUDAS AO NÍVEL DO TORNOZELO - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
LESÕES LIGAMENTARES CRÔNICAS AO NÍVEL DO TORNOZELO - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
LESÕES LIGAMENTARES PERIFÉRICAS CRÔNICAS - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
LIBERAÇÃO LATERAL E FACECTOMIAS EM JOELHO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
MENISCORRAFIA,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
OSTEOMIELITE DOS OSSOS DA PERNA - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
OSTEOTOMIA OU PSEUDARTROSE DOS METATARSOS/FALANGES - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
